STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        722;20230910;   10;   8.0;   3.6;    9;   0.0;   0;    9.200;   0;   2.1;  15.3;  890.90;   18.2;   73.00;   24.1;   15.6;    9.2;eor
        722;20230911;   10;  10.3;   5.2;    9;   0.0;   0;   11.900;   0;   2.2;  14.5;  887.90;   18.6;   68.00;   22.7;   16.1;   11.5;eor
        722;20230912;   10;  23.7;   4.4;    9;  17.0;   4;    6.600;   0;   6.3;  14.8;  886.10;   16.1;   81.00;   19.2;   10.3;    9.3;eor
        722;20230913;   10;  21.8;  10.0;    9;   2.5;   4;    0.300;   0;   7.8;  12.7;  885.70;   10.3;  100.00;   13.5;    3.8;    4.7;eor
        722;20230914;   10;  10.3;   4.4;    9;   0.0;   0;    5.300;   0;   4.3;   9.5;  891.30;    7.8;   89.00;   13.1;    3.6;    2.8;eor
        722;20230915;   10;  13.0;   7.9;    9;   0.0;   0;   11.200;   0;   1.7;  10.7;  890.10;   10.4;   85.00;   14.6;    6.8;    5.6;eor
        722;20230916;   10;   9.9;   4.9;    9;   0.0;   4;   11.500;   0;   2.8;  11.6;  887.90;   14.9;   69.00;   18.6;   11.4;    5.9;eor
        722;20230917;   10;  16.0;   7.4;    9;   0.0;   4;    6.300;   0;   6.3;  14.2;  887.30;   16.5;   76.00;   19.2;   14.5;    8.7;eor
        722;20230918;   10;  27.0;  14.9;    9;   0.7;   6;    2.100;   0;   7.3;  14.5;  880.10;   14.1;   90.00;   17.0;    9.0;    9.2;eor
        722;20230919;   10;  28.9;  19.1;    9;   0.0;   0;    6.400;   0;   6.4;   9.7;  879.80;    8.3;   89.00;   10.0;    5.9;    6.2;eor
        722;20230920;   10;  26.6;  16.9;    9;   0.0;   0;    6.500;   0;   7.6;  11.9;  880.50;   11.2;   90.00;   14.1;    8.1;    8.1;eor
        722;20230921;   10;  23.5;  13.2;    9;   3.1;   4;    5.800;   0;   4.9;  11.7;  874.90;   13.5;   75.00;   15.6;   10.0;    9.9;eor
        722;20230922;   10;  20.1;  11.7;    9;   0.5;   6;    0.100;   0;   7.6;  10.7;  874.20;    8.0;  100.00;   10.0;    5.9;    6.3;eor
        722;20230923;   10;  20.4;  12.2;    9;   0.0;   4;    1.300;   0;   7.5;   9.0;  883.00;    5.8;   98.00;    7.9;    4.3;    4.6;eor
        722;20230924;   10;  16.8;   6.4;    9;   0.0;   0;    4.100;   0;   5.0;   9.4;  894.10;    7.9;   89.00;   12.8;    5.7;    5.1;eor
        722;20230925;   10;  17.5;   9.3;    9;   0.0;   0;   11.000;   0;   4.5;   8.6;  893.90;    9.4;   73.00;   12.1;    6.4;    4.7;eor
        722;20230926;   10;  10.1;   5.1;    9;   0.0;   0;   11.000;   0;   3.4;  10.9;  892.70;   12.9;   73.00;   18.9;    9.7;   -0.4;eor
        722;20230927;   10;  14.5;   5.8;    9;   0.0;   0;    9.900;   0;   5.8;  12.9;  891.50;   15.0;   77.00;   19.7;   11.8;    6.6;eor
        722;20230928;   10;  16.7;   8.1;    9;   0.0;   0;    8.200;   0;   6.0;  13.4;  889.30;   15.8;   76.00;   21.8;   12.6;    9.1;eor
        722;20230929;   10;  20.5;  13.7;    9;   7.7;   6;    2.100;   0;   7.9;  13.7;  888.60;   13.1;   90.00;   16.8;    6.1;    6.5;eor
        722;20230930;   10;  15.1;   7.7;    9;   0.0;   0;    7.400;   0;   6.2;   9.2;  893.70;    7.6;   89.00;   11.9;    5.0;    4.7;eor
        722;20231001;   10;  13.8;   9.3;    9;   0.0;   0;    3.000;   0;   7.9;  10.8;  893.20;   10.0;   86.00;   14.0;    6.8;    5.7;eor
        722;20231002;   10;  19.2;  10.0;    9;   0.0;   0;    8.000;   0;   6.2;  13.0;  891.60;   14.5;   79.00;   17.4;   11.7;    9.8;eor
        722;20231003;   10;  29.2;  18.0;    9;  20.9;   4;    1.500;   0;   7.8;  11.4;  884.30;   10.8;   88.00;   15.3;    5.0;    5.4;eor
        722;20231004;   10;  24.4;  14.5;    9;   0.1;   4;    0.500;   0;   7.9;   9.2;  891.70;    5.8;   99.00;    6.8;    5.2;    5.2;eor
        722;20231005;   10;  23.3;  14.2;    9;   0.8;   4;    0.200;   0;   8.0;   9.6;  890.80;    6.3;  100.00;    7.3;    5.3;    5.5;eor
        722;20231006;   10;  27.3;  14.4;    9;   0.4;   4;    2.900;   0;   7.7;   9.8;  891.00;    7.5;   94.00;    9.9;    5.5;    5.1;eor
        722;20231007;   10;  31.2;  19.1;    9;   6.1;   6;    0.100;   0;   8.0;  12.1;  887.10;    9.7;  100.00;   11.7;    7.5;    7.6;eor
        722;20231008;   10;  22.1;   7.3;    9;   1.9;   6;    5.200;   0;   7.3;   8.0;  891.50;    5.7;   86.00;   10.5;   -0.5;    1.0;eor
        722;20231009;   10;  24.8;  13.6;    9;  27.1;   4;    0.000;   0;   8.0;  11.8;  887.20;    9.4;  100.00;   10.4;    7.3;    7.5;eor
        722;20231010;   10;  20.9;  11.1;    9;   0.0;   0;    6.300;   0;   7.8;  11.4;  888.60;   11.3;   86.00;   15.1;    7.8;    7.9;eor
        722;20231011;   10;  30.6;  19.7;    9;   4.8;   6;    7.500;   0;   6.9;  10.2;  883.50;   12.6;   70.00;   14.9;   10.8;    9.6;eor
        722;20231012;   10;  25.4;  13.6;    9;  12.9;   8;    0.000;   0;   7.9;  11.6;  883.10;    9.7;   96.00;   11.5;    9.1;    9.2;eor
