STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3126;20230910;   10;   4.7;   1.1;    9;   0.0;   0;   11.600;   0;   1.2;  16.9; 1007.30;   21.9;   68.00;   30.8;   13.3;   10.0;eor
       3126;20230911;   10;   7.3;   1.0;    9;   0.0;   0;   11.500;   0;   0.9;  17.1; 1003.80;   22.5;   67.00;   31.3;   14.2;   10.9;eor
       3126;20230912;   10;   8.3;   2.0;    9;  12.3;   6;    8.600;   0;   5.3;  18.4; 1002.70;   22.1;   71.00;   28.0;   16.6;   13.9;eor
       3126;20230913;   10;  19.3;   2.4;    9;   1.3;   6;    3.800;   0;   7.0;  18.0; 1004.70;   17.5;   89.00;   23.7;   11.6;    9.6;eor
       3126;20230914;   10;   5.0;   1.5;    9;   0.0;   0;   11.400;   0;   0.7;  11.4; 1012.70;   13.8;   75.00;   19.7;    8.9;    6.6;eor
       3126;20230915;   10;   8.1;   1.9;    9;   0.0;   0;   11.300;   0;   0.1;  12.6; 1010.80;   15.9;   72.00;   24.0;    7.7;    5.2;eor
       3126;20230916;   10;   5.7;   1.5;    9;   0.0;   6;   10.900;   0;   2.2;  14.5; 1006.40;   17.6;   75.00;   25.9;    9.6;    6.3;eor
       3126;20230917;   10;   6.9;   1.5;    9;   0.0;   0;    6.000;   0;   6.4;  16.3; 1004.70;   20.2;   71.00;   28.2;   12.8;   10.5;eor
       3126;20230918;   10;   9.8;   3.1;    9;   0.0;   6;    2.100;   0;   4.9;  17.7;  997.80;   20.8;   73.00;   25.8;   16.3;   13.2;eor
       3126;20230919;   10;  13.9;   4.5;    9;   0.0;   0;    7.900;   0;   3.6;  12.3; 1000.10;   17.9;   61.00;   21.0;   15.0;   11.3;eor
       3126;20230920;   10;  10.3;   3.3;    9;   0.0;   0;    8.200;   0;   5.0;  14.4;  999.70;   19.7;   63.00;   25.3;   14.7;   10.7;eor
