"Site","Site_type","Transect","Plant_sp","Plot_Cover","Relative_cover_transect","Floral_simpson_index","Floral_shannon_index","Floral_species_richness","average_flower_cover"
"WED","1-5 y","T1","Lotus corniculatus",5.9,0.184702303346371,0.183611539388403,0.463496650307921,12,4.64651162790698
"WED","1-5 y","T1","Lotus corniculatus",5.9,0.184702303346371,0.300732933857943,0.655514116622449,12,4.64651162790698
"WED","1-5 y","T1","Lotus corniculatus",5.9,0.184702303346371,0.0863547792135039,0.245032174925336,12,4.64651162790698
"WED","1-5 y","T1","Leucanthemum vulgare",5.9,0.0169491525423729,0.183611539388403,0.463496650307921,12,4.64651162790698
"WED","1-5 y","T1","Leucanthemum vulgare",5.9,0.0169491525423729,0.300732933857943,0.655514116622449,12,4.64651162790698
"WED","1-5 y","T1","Leucanthemum vulgare",5.9,0.0169491525423729,0.0863547792135039,0.245032174925336,12,4.64651162790698
"WED","1-5 y","T1","Trifolium pratense",5.9,0.241199478487614,0.183611539388403,0.463496650307921,12,4.64651162790698
"WED","1-5 y","T1","Trifolium pratense",5.9,0.241199478487614,0.300732933857943,0.655514116622449,12,4.64651162790698
"WED","1-5 y","T1","Trifolium pratense",5.9,0.241199478487614,0.0863547792135039,0.245032174925336,12,4.64651162790698
"WED","1-5 y","T1","Knautia arvensis",5.9,0.067386738908103,0.183611539388403,0.463496650307921,12,4.64651162790698
"WED","1-5 y","T1","Knautia arvensis",5.9,0.067386738908103,0.300732933857943,0.655514116622449,12,4.64651162790698
"WED","1-5 y","T1","Knautia arvensis",5.9,0.067386738908103,0.0863547792135039,0.245032174925336,12,4.64651162790698
"WED","1-5 y","T1","Trifolium campestre",5.9,0.112994350282486,0.183611539388403,0.463496650307921,12,4.64651162790698
"WED","1-5 y","T1","Trifolium campestre",5.9,0.112994350282486,0.300732933857943,0.655514116622449,12,4.64651162790698
"WED","1-5 y","T1","Trifolium campestre",5.9,0.112994350282486,0.0863547792135039,0.245032174925336,12,4.64651162790698
"WED","1-5 y","T1","Pastinaca sativa",5.9,0.0169491525423729,0.183611539388403,0.463496650307921,12,4.64651162790698
"WED","1-5 y","T1","Pastinaca sativa",5.9,0.0169491525423729,0.300732933857943,0.655514116622449,12,4.64651162790698
"WED","1-5 y","T1","Pastinaca sativa",5.9,0.0169491525423729,0.0863547792135039,0.245032174925336,12,4.64651162790698
"WED","1-5 y","T1","Knautia arvensis",2.6,0.067386738908103,0.183611539388403,0.463496650307921,12,4.64651162790698
"WED","1-5 y","T1","Knautia arvensis",2.6,0.067386738908103,0.300732933857943,0.655514116622449,12,4.64651162790698
"WED","1-5 y","T1","Knautia arvensis",2.6,0.067386738908103,0.0863547792135039,0.245032174925336,12,4.64651162790698
"WED","1-5 y","T1","Lotus corniculatus",2.6,0.184702303346371,0.183611539388403,0.463496650307921,12,4.64651162790698
"WED","1-5 y","T1","Lotus corniculatus",2.6,0.184702303346371,0.300732933857943,0.655514116622449,12,4.64651162790698
"WED","1-5 y","T1","Lotus corniculatus",2.6,0.184702303346371,0.0863547792135039,0.245032174925336,12,4.64651162790698
"WED","1-5 y","T1","Trifolium pratense",2.6,0.241199478487614,0.183611539388403,0.463496650307921,12,4.64651162790698
"WED","1-5 y","T1","Trifolium pratense",2.6,0.241199478487614,0.300732933857943,0.655514116622449,12,4.64651162790698
"WED","1-5 y","T1","Trifolium pratense",2.6,0.241199478487614,0.0863547792135039,0.245032174925336,12,4.64651162790698
