C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_10-11-24-310689_ID129_crop.jpg,bee,2024-07-14_10-11-24-310689_ID129_crop.jpg,Correct,0.15
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_10-21-26-058261_ID238_crop.jpg,bee,2024-07-14_10-21-26-058261_ID238_crop.jpg,Correct,0.16
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_10-21-27-084381_ID238_crop.jpg,bee,2024-07-14_10-21-27-084381_ID238_crop.jpg,Correct,0.16
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_10-21-28-105793_ID238_crop.jpg,bee,2024-07-14_10-21-28-105793_ID238_crop.jpg,Correct,0.17
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_10-21-29-130707_ID238_crop.jpg,bee,2024-07-14_10-21-29-130707_ID238_crop.jpg,Correct,0.16
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_10-21-30-159315_ID238_crop.jpg,bee,2024-07-14_10-21-30-159315_ID238_crop.jpg,Correct,0.15
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_10-21-31-187597_ID238_crop.jpg,bee,2024-07-14_10-21-31-187597_ID238_crop.jpg,Correct,0.16
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_10-21-32-215219_ID238_crop.jpg,bee,2024-07-14_10-21-32-215219_ID238_crop.jpg,Correct,0.73
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_10-21-35-290408_ID263_crop.jpg,bee,2024-07-14_10-21-35-290408_ID263_crop.jpg,Correct,0.13
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_10-21-36-319282_ID263_crop.jpg,bee,2024-07-14_10-21-36-319282_ID263_crop.jpg,Correct,0.13
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_10-21-37-347327_ID263_crop.jpg,bee,2024-07-14_10-21-37-347327_ID263_crop.jpg,Correct,0.29
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_10-21-38-375837_ID263_crop.jpg,bee,2024-07-14_10-21-38-375837_ID263_crop.jpg,Correct,0.14
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_11-36-24-231744_ID2101_crop.jpg,bee,2024-07-14_11-36-24-231744_ID2101_crop.jpg,Correct,0.16
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_11-36-25-259919_ID2101_crop.jpg,bee,2024-07-14_11-36-25-259919_ID2101_crop.jpg,Correct,0.17
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_11-36-26-290209_ID2101_crop.jpg,bee,2024-07-14_11-36-26-290209_ID2101_crop.jpg,Correct,0.19
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_11-36-27-319121_ID2101_crop.jpg,bee,2024-07-14_11-36-27-319121_ID2101_crop.jpg,Correct,0.55
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_11-36-28-351882_ID2101_crop.jpg,bee,2024-07-14_11-36-28-351882_ID2101_crop.jpg,Correct,0.27
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_11-36-29-380804_ID2101_crop.jpg,bee,2024-07-14_11-36-29-380804_ID2101_crop.jpg,Correct,0.28
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_11-36-30-405105_ID2101_crop.jpg,bee,2024-07-14_11-36-30-405105_ID2101_crop.jpg,Correct,0.26
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_11-36-31-431647_ID2101_crop.jpg,bee,2024-07-14_11-36-31-431647_ID2101_crop.jpg,Correct,0.16
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_11-36-32-459351_ID2101_crop.jpg,bee,2024-07-14_11-36-32-459351_ID2101_crop.jpg,Correct,0.17
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_11-36-33-486969_ID2101_crop.jpg,bee,2024-07-14_11-36-33-486969_ID2101_crop.jpg,Correct,1.11
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_11-36-34-512770_ID2101_crop.jpg,bee,2024-07-14_11-36-34-512770_ID2101_crop.jpg,Correct,0.28
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_11-36-35-538857_ID2101_crop.jpg,bee,2024-07-14_11-36-35-538857_ID2101_crop.jpg,Correct,0.15
C:/Users/Almas/YOLOv5/yolov5-master/runs/predict-cls\seppi-cam36\top1_classes\prob_0.8-1.0\bee\2024-07-14_11-36-36-566928_ID2101_crop.jpg,bee,2024-07-14_11-36-36-566928_ID2101_crop.jpg,Correct,0.16
