taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1588324	Coproica ferruginata (Stenhammar, 1854)	1588324	Coproica ferruginata (Stenhammar, 1854)	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Sphaeroceridae	6924	Coproica	1588281	Coproica ferruginata	1588324	NE
10534868	BOLD:AAU3837	10534868	BOLD:AAU3837	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Tachinidae	6918	Trixa	1467029			
11727883	BOLD:ADW7879	11727883	BOLD:ADW7879	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Sciaridae	3525					
1542026	Didea intermedia Loew, 1854	1542026	Didea intermedia Loew, 1854	50	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Syrphidae	6920	Didea	1542022	Didea intermedia	1542026	NE
1605259	Dolichopus arbustorum Stannius, 1831	1605259	Dolichopus arbustorum Stannius, 1831	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Dolichopodidae	7305	Dolichopus	1604970	Dolichopus arbustorum	1605259	NE
5070963	Criorhina Meigen, 1822	5070963	Criorhina Meigen, 1822	6	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Syrphidae	6920	Criorhina	5070963			NE
10142102	BOLD:AAC9197	10142102	BOLD:AAC9197	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Chironomidae	3343	Krenopelopia	1446544			
5064140	Chrysomya albiceps (Wiedemann, 1819)	5064140	Chrysomya albiceps (Wiedemann, 1819)	14	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Calliphoridae	3335	Chrysomya	1503295	Chrysomya albiceps	5064140	NE
1663573	Dasypogon melanopterus Loew, 1869	1663573	Dasypogon melanopterus Loew, 1869	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Asilidae	7275	Dasypogon	1565202	Dasypogon melanopterus	1663573	NE
1594622	Mycodiplosis Rübsaamen, 1895	1594622	Mycodiplosis Rübsaamen, 1895	20	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Cecidomyiidae	3338	Mycodiplosis	1594622			
1464719	Phasia barbifrons (Girschner, 1887)	1464719	Phasia barbifrons (Girschner, 1887)	38	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Tachinidae	6918	Phasia	1464433	Phasia barbifrons	1464719	NE
1674013	Loxocera aristata (Panzer, 1800)	1674013	Loxocera aristata (Panzer, 1800)	14	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psilidae	6183	Loxocera	1673949	Loxocera aristata	1674013	NE
1457965	Platypalpus pectoralis (Fallén, 1815)	1457965	Platypalpus pectoralis (Fallén, 1815)	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Hybotidae	9706	Platypalpus	1457232	Platypalpus pectoralis	1457965	NE
11243457	Trachysiphonella pumilio	4514701	Trachysiphonella scutellata (Roser, 1840)	2	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Chloropidae	3344	Trachysiphonella	9141864	Trachysiphonella scutellata	4514701	NE
1573446	Anthomyia monilis (Meigen, 1826)	1573446	Anthomyia monilis (Meigen, 1826)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Anthomyia	1480567	Anthomyia monilis	1573446	NE
11522548	BOLD:ADB6320	11522548	BOLD:ADB6320	6	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Empididae	9483	Empis	9056977			
9924086	BOLD:ACB3412	9924086	BOLD:ACB3412	17	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Phoridae	9502	Triphleba	1549589	Triphleba nudipalpis	9748380	
10566018	BOLD:ACU7645	10566018	BOLD:ACU7645	5	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Cecidomyiidae	3338					
9851633	Machimus intermedius (Holmgren, 1852)	4515477	Machimus setibarbus (Loew, 1849)	174	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Asilidae	7275	Machimus	1655937	Machimus setibarbus	4515477	NE
9972336	BOLD:AAF7635	9972336	BOLD:AAF7635	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Chironomidae	3343	Rheotanytarsus	1452406	Rheotanytarsus ringei	1452471	
10579014	BOLD:ACE0525	10579014	BOLD:ACE0525	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Cecidomyiidae	3338					
1583495	Empis variegata Meigen, 1804	1583495	Empis variegata Meigen, 1804	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Empididae	9483	Empis	9056977	Empis variegata	1583495	NE
10235762	BOLD:ACX2001	10235762	BOLD:ACX2001	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Cecidomyiidae	3338	Rhopalomyia	5081128			
10033282	BOLD:ACR1373	10033282	BOLD:ACR1373	4	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Chloropidae	3344					
8033598	Holopogon fumipennis (Meigen, 1820)	8033598	Holopogon fumipennis (Meigen, 1820)	138	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Asilidae	7275	Holopogon	1661361	Holopogon fumipennis	8033598	NE
10364313	BOLD:ABA7544	10364313	BOLD:ABA7544	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Limoniidae	5580	Metalimnobia	5431272	Metalimnobia bifasciata	5766981	
11548250	BOLD:ADF7259	11548250	BOLD:ADF7259	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Syrphidae	6920					
9853806	BOLD:ACE1098	9853806	BOLD:ACE1098	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila salicis	1575488	
9969803	BOLD:AAC3042	9969803	BOLD:AAC3042	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Chironomidae	3343	Nanocladius	7455750			
1655937	Machimus Loew, 1849	1655937	Machimus Loew, 1849	56	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Asilidae	7275	Machimus	1655937			
1603803	Sybistroma Meigen, 1824	1603803	Sybistroma Meigen, 1824	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Dolichopodidae	7305	Sybistroma	1603803			
11815676	BOLD:ACZ8825	11815676	BOLD:ACZ8825	4	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Hybotidae	9706	Platypalpus	1457232			
1594424	Spurgia euphorbiae (Vallot, 1827)	1594424	Spurgia euphorbiae (Vallot, 1827)	89	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Cecidomyiidae	3338	Spurgia	1594410	Spurgia euphorbiae	1594424	NE
5056529	Acrocera orbicula (Fabricius, 1787)	5056529	Acrocera orbicula (Fabricius, 1787)	16	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Acroceridae	3328	Acrocera	1460122	Acrocera orbicula	5056529	NE
1606878	Argyra Macquart, 1834	1606878	Argyra Macquart, 1834	6	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Dolichopodidae	7305	Argyra	1606878			
11461154	BOLD:ADB5851	11461154	BOLD:ADB5851	4	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Tachinidae	6918					
10194436	BOLD:ACX2390	10194436	BOLD:ACX2390	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Scatopsidae	6927					
10629588	BOLD:ACF6040	10629588	BOLD:ACF6040	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Scathophagidae	1555553	Scathophaga	1556238	Scathophaga sp. BOLD:ACF6040	10054802	
10155704	BOLD:ACP2648	10155704	BOLD:ACP2648	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Phoridae	9502					
10384178	BOLD:ACO8832	10384178	BOLD:ACO8832	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Cecidomyiidae	3338					
1622979	Xyphosia miliaria (Schrank, 1781)	1622979	Xyphosia miliaria (Schrank, 1781)	540	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Tephritidae	3520	Xyphosia	1622973	Xyphosia miliaria	1622979	NE
10394615	BOLD:ACR2013	10394615	BOLD:ACR2013	69	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Dryomyzidae	5548					
10026251	BOLD:ACG4337	10026251	BOLD:ACG4337	4	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Chirosia	1555604	Chirosia betuleti	1575308	
10867053	BOLD:ADC0906	10867053	BOLD:ADC0906	12	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Phoridae	9502					
1575890	Paregle audacula (Harris, 1780)	1575890	Paregle audacula (Harris, 1780)	14	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Paregle	9773150	Paregle audacula	1575890	NE
1583548	Empis nigricans Meigen, 1804	1583548	Empis nigricans Meigen, 1804	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Empididae	9483	Empis	9056977	Empis nigricans	1583548	NE
9888521	BOLD:AAG3348	9888521	BOLD:AAG3348	4	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Phoridae	9502	Triphleba	1549589	Triphleba aqualis	10528058	
10326327	BOLD:AAC4198	10326327	BOLD:AAC4198	4	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Chironomidae	3343	Paraphaenocladius	1456761	Paraphaenocladius impensus	1456785	
10310217	BOLD:ABA6989	10310217	BOLD:ABA6989	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Phoridae	9502					
10432433	BOLD:ACB3394	10432433	BOLD:ACB3394	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Phoridae	9502	Phora	1487293	Phora holosericea	1545271	
10498585	BOLD:ACJ3331	10498585	BOLD:ACJ3331	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Cecidomyiidae	3338					
1573437	Anthomyia confusanea Michelsen, 1985	1573437	Anthomyia confusanea Michelsen, 1985	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Anthomyia	1480567	Anthomyia confusanea	1573437	NE
1573555	Hydrophoria ruralis (Meigen, 1826)	1573555	Hydrophoria ruralis (Meigen, 1826)	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Hydrophoria	9774931	Hydrophoria ruralis	1573555	NE
10166235	BOLD:AAN6447	10166235	BOLD:AAN6447	9	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Sciaridae	3525	Corynoptera	1487847	Corynoptera perpusilla	1488009	
10349314	BOLD:AAY3907	10349314	BOLD:AAY3907	4	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Agromyzidae	3329	Phytomyza	1551312	Phytomyza evanescens	4295338	
9976503	BOLD:ABZ9243	9976503	BOLD:ABZ9243	9	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Ceratopogonidae	3340	Atrichopogon	1636637	Atrichopogon oedemerarum	1637013	
1537736	Ocyptamus Macquart, 1834	1537736	Ocyptamus Macquart, 1834	2	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Syrphidae	6920	Ocyptamus	1537736			
