taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1254790	Clinocentrus Haliday, 1833	1254790	Clinocentrus Haliday, 1833	3	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Clinocentrus	1254790			
9855006	BOLD:AAI2916	9855006	BOLD:AAI2916	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Nomada	1343230	Nomada sexfasciata	1343381	
1288501	Bathythrix margaretae Sawoniewicz, 1980	1288501	Bathythrix margaretae Sawoniewicz, 1980	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Ichneumonidae	3512	Bathythrix	8330372	Bathythrix margaretae	1288501	NE
10506877	BOLD:AAN8139	10506877	BOLD:AAN8139	11	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Crabronidae	7906	Rhopalum	1347324	Rhopalum clavipes	4495009	
10621101	BOLD:ACB8546	10621101	BOLD:ACB8546	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Binodoxys	1265607	Binodoxys acalephae	1265670	
9885854	BOLD:ACU0402	9885854	BOLD:ACU0402	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Scelionidae	4349					
9840461	BOLD:ACO6735	9840461	BOLD:ACO6735	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Ichneumonidae	3512	Plectiscus	1308186	Plectiscus impurator	1308199	
10618347	BOLD:ACP6349	10618347	BOLD:ACP6349	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Chorebus	1271160			
10282728	BOLD:AAZ8981	10282728	BOLD:AAZ8981	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Bracon	1262034			
10504957	BOLD:ACT9903	10504957	BOLD:ACT9903	4	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Ichneumonidae	3512					
11921667	BOLD:ACT9428	11921667	BOLD:ACT9428	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Figitidae	6990	Eucoila	9708563			
10617706	BOLD:ACL6943	10617706	BOLD:ACL6943	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Ichneumonidae	3512	Theroscopus	1296703	Theroscopus ochrogaster	1296716	
10039721	BOLD:ABV4816	10039721	BOLD:ABV4816	8	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Ichneumonidae	3512	Dusona	1288673	Dusona stragifex	1289046	
