taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1853587	Sterrhopterix fusca (Haworth, 1809)	1853587	Sterrhopterix fusca (Haworth, 1809)	138	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Psychidae	8861	Sterrhopterix	1853583	Sterrhopterix fusca	1853587	NE
9710182	Fissipunctia ypsillon (Denis & Schiffermüller, 1775)	9710182	Fissipunctia ypsillon (Denis & Schiffermüller, 1775)	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Fissipunctia	4706995	Fissipunctia ypsillon	9710182	NE
1879567	Eudonia petrophila Standfuss, 1848	1879567	Eudonia petrophila Standfuss, 1848	10	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Eudonia	1879512	Eudonia petrophila	1879567	NE
5101717	Malacosoma alpicola Staudinger, 1871	5101717	Malacosoma alpicola Staudinger, 1871	25	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lasiocampidae	3530	Malacosoma	1733840	Malacosoma alpicola	5101717	NE
1858778	Stenoptilia bipunctidactyla (Scopoli, 1763)	1858778	Stenoptilia bipunctidactyla (Scopoli, 1763)	37	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Pterophoridae	8863	Stenoptilia	1858722	Stenoptilia bipunctidactyla	1858778	NE
1739775	Acleris shepherdana (Stephens, 1852)	1739775	Acleris shepherdana (Stephens, 1852)	15	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Acleris	1739724	Acleris shepherdana	1739775	NE
7588222	Aphelia unitana (Hübner, 1796-1799)	7588222	Aphelia unitana (Hübner, 1796-1799)	14	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Aphelia	1748277	Aphelia unitana	7588222	NE
1787978	Hadena tephroleuca Boisduval, 1833	1787978	Hadena tephroleuca Boisduval, 1833	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Hadena	1787522	Hadena tephroleuca	1787978	NE
7452151	Maniola tithonus (Linnaeus, 1771)	7622059	Pyronia tithonus (Linnaeus, 1771)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Pyronia	1919016	Pyronia tithonus	7622059	NE
1846689	Monochroa conspersella (Herrich-Schäffer, 1854)	1846689	Monochroa conspersella (Herrich-Schäffer, 1854)	30	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gelechiidae	3553	Monochroa	1846636	Monochroa conspersella	1846689	NE
5120470	Goniodoma limoniella (Stainton, 1884)	5120470	Goniodoma limoniella (Stainton, 1884)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Coleophoridae	8838	Goniodoma	1843892	Goniodoma limoniella	5120470	NE
1750130	Phyllonorycter dubitella (Herrich-Schäffer, 1855)	1750130	Phyllonorycter dubitella (Herrich-Schäffer, 1855)	23	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gracillariidae	5487	Phyllonorycter	1749732	Phyllonorycter dubitella	1750130	NE
1787770	Hadena confusa (Hufnagel, 1766)	1787770	Hadena confusa (Hufnagel, 1766)	51	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Hadena	1787522	Hadena confusa	1787770	NE
1731834	Eriocrania salopiella Stainton, 1854	1731834	Eriocrania salopiella Stainton, 1854	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Eriocraniidae	6946	Eriocrania	1731817	Eriocrania salopiella	1731834	NE
1841971	Scythris fallacella (Schläger, 1848)	1841971	Scythris fallacella (Schläger, 1848)	9	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Scythrididae	8866	Scythris	1841529	Scythris fallacella	1841971	NE
1858107	Tinea columbariella Wocke, 1877	1858107	Tinea columbariella Wocke, 1877	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tineidae	9412	Tinea	1858055	Tinea columbariella	1858107	NE
1949938	Pyrgus malvoides (Elwes & Edwards, 1897)	1949938	Pyrgus malvoides (Elwes & Edwards, 1897)	14	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Hesperiidae	6953	Pyrgus	1949704	Pyrgus malvoides	1949938	LC
1846477	Scrobipalpopsis petasitis (Pfaffenzeller, 1866)	1846477	Scrobipalpopsis petasitis (Pfaffenzeller, 1866)	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gelechiidae	3553	Scrobipalpopsis	1846476	Scrobipalpopsis petasitis	1846477	NE
6120278	Nemapogon tesserella (Fabricius, 1794)	1856701	Nemapogon granella (Linnaeus, 1758)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tineidae	9412	Nemapogon	1856650	Nemapogon granella	1856701	NE
10625985	BOLD:AAC5270	10625985	BOLD:AAC5270	5	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Pyralidae	5336	Delplanqueia	4531315	Delplanqueia dilutella	4531318	
9910716	BOLD:AAC9691	9910716	BOLD:AAC9691	16	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Elachistidae	7297	Elachista	1832810	Elachista argentella	1832853	
1883387	Cynaeda fulminans Fabricius	1883386	Cynaeda dentalis (Denis & Schiffermüller), 1775	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Cynaeda	1883373	Cynaeda dentalis	1883386	NE
7754899	Heterodonta Duponchel, 1845	1827641	Spatalia Hübner, 1819	20	GENUS	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Notodontidae	7016	Spatalia	1827641			
1814095	Coscinia Hübner, 1819	1814095	Coscinia Hübner, 1819	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Coscinia	1814095			
5102495	Stigmella prunetorum (Stainton, 1855) Beirne, 1945	5102495	Stigmella prunetorum (Stainton, 1855) Beirne, 1945	34	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nepticulidae	7014	Stigmella	1735652	Stigmella prunetorum	5102495	NE
1782841	Acronicta strigosa (Denis & Schiffermüller), 1775	1782841	Acronicta strigosa (Denis & Schiffermüller), 1775	85	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Acronicta	1782659	Acronicta strigosa	1782841	NE
1857847	Monopis imella (Hübner, 1813)	1857847	Monopis imella (Hübner, 1813)	25	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tineidae	9412	Monopis	1857825	Monopis imella	1857847	NE
8708745	Lasionhada proxima (Hübner, 1808)	8708745	Lasionhada proxima (Hübner, 1808)	19	SPECIES	DOUBTFUL	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Lasionycta	1760738	Lasionhada proxima	8708745	NE
4530632	Periclepsis cinctana (Denis & Schiffermüller), 1775	4530632	Periclepsis cinctana (Denis & Schiffermüller), 1775	57	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Periclepsis	1744237	Periclepsis cinctana	4530632	NE
5145648	Scopula umbelaria (Hübner, 1813)	5145648	Scopula umbelaria (Hübner, 1813)	19	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Scopula	1970574	Scopula umbelaria	5145648	NE
1762608	Protolampra sobrina Duponchel, 1843	1762608	Protolampra sobrina Duponchel, 1843	26	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Protolampra	1762605	Protolampra sobrina	1762608	NE
4534398	Longalatedes elymi Treitschke, 1825	4534398	Longalatedes elymi Treitschke, 1825	25	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Longalatedes	4407165	Longalatedes elymi	4534398	NE
5121613	Coleophora deauratella Zeller, 1846	5121613	Coleophora deauratella Zeller, 1846	22	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Coleophoridae	8838	Coleophora	1843897	Coleophora deauratella	5121613	NE
10621817	BOLD:ABZ7109	10621817	BOLD:ABZ7109	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Caradrina	1764920	Caradrina selini	4534257	
10319142	BOLD:AAO1198	10319142	BOLD:AAO1198	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Grapholita	1736460	Grapholita discretana	1736484	
10045167	BOLD:AAB1550	10045167	BOLD:AAB1550	10	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Scopula	1970574	Scopula ornata	5144805	
9898336	BOLD:AAB9417	9898336	BOLD:AAB9417	7	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Anania	7739898	Anania fuscalis	9100030	
10103126	BOLD:AAC1440	10103126	BOLD:AAC1440	25	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Scoparia	1882413	Scoparia pyralella	1882557	
10017918	BOLD:AAA7738	10017918	BOLD:AAA7738	5	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Spilonota	1741404	Spilonota laricana	5771357	
10302785	BOLD:ACS6376	10302785	BOLD:ACS6376	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Eupithecia	1982367	Eupithecia semigraphata	1982790	
1962369	Dysstroma Hübner	1962369	Dysstroma Hübner	17	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Dysstroma	1962369			
9836810	BOLD:ACE9283	9836810	BOLD:ACE9283	5	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Hesperiidae	6953	Pyrgus	1949704			
10004049	BOLD:AAF3135	10004049	BOLD:AAF3135	8	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Psychidae	8861	Sterrhopterix	1853583	Sterrhopterix fusca	1853587	
9922231	BOLD:AAE6704	9922231	BOLD:AAE6704	6	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Zygaenidae	8875	Zygaena	1755294			
9910193	BOLD:AAU2580	9910193	BOLD:AAU2580	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Pterophoridae	8863	Agdistis	1859327	Agdistis satanas	1859444	
10656166	BOLD:AAA1513	10656166	BOLD:AAA1513	45	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Plutellidae	8860	Plutella	1831127	Plutella xylostella	1831136	
10194791	BOLD:AAX9719	10194791	BOLD:AAX9719	8	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nepticulidae	7014	Etainia	1735869	Etainia louisella	9311161	
10271732	BOLD:ABY7741	10271732	BOLD:ABY7741	7	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Coenonympha	1911078	Coenonympha hero	1911168	
10286395	BOLD:AAI7316	10286395	BOLD:AAI7316	4	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Glyphipterigidae	3554	Glyphipterix	1829702	Glyphipterix haworthana	1829799	
10260400	BOLD:AAD0032	10260400	BOLD:AAD0032	7	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Pyrausta	1890369	Pyrausta nigrata	1890703	
10582953	BOLD:AAA3074	10582953	BOLD:AAA3074	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Ochropleura	1770396	Ochropleura plecta	1770477	
5121097	Coleophora albicosta (Haworth, 1828)	5121097	Coleophora albicosta (Haworth, 1828)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Coleophoridae	8838	Coleophora	1843897	Coleophora albicosta	5121097	NE
10546205	BOLD:AAD1189	10546205	BOLD:AAD1189	7	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gracillariidae	5487	Phyllonorycter	1749732			
10516113	BOLD:AAC2773	10516113	BOLD:AAC2773	10	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Coleophoridae	8838	Coleophora	1843897	Coleophora therinella	5121013	
10639974	BOLD:AAB2294	10639974	BOLD:AAB2294	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Acleris	1739724	Acleris variegana	1739833	
10273302	BOLD:AAB8916	10273302	BOLD:AAB8916	35	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Eupithecia	1982367	Eupithecia inturbata	1983170	
10626621	BOLD:AAF8160	10626621	BOLD:AAF8160	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gelechiidae	3553	Apodia	1849103	Apodia martinii	1849105	
9990416	BOLD:ABX5016	9990416	BOLD:ABX5016	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lycaenidae	5473	Plebicula	1932450	Plebicula dorylas	1932473	
